seed,order_id,legacy_order_id,run_order_id,order,task_order,method,memory_budget,method_cell,status,ewc_lambda,selected_ewc_lambda,epochs,batch_size,matched_step_cap_per_task,effective_epoch_passes_per_task,optimizer_steps_total,optimizer_steps_per_task,optimizer_steps,processed_examples_total,processed_examples_per_task,processed_examples,fisher_method,fisher_sample_counts_per_anchor,A_after_mean,A_after_median,A_after_min,A_after_le_0_001_count,final_average_accuracy,average_forgetting,AF,elapsed_seconds,elapsed_time_seconds,device,train_cap_per_digit,test_cap_per_digit,result_kind,task_0_A_after,task_1_A_after,task_2_A_after,task_3_A_after,task_4_A_after,task_0_A_end,task_1_A_end,task_2_A_end,task_3_A_end,task_4_A_end,task_0_final_accuracy,task_1_final_accuracy,task_2_final_accuracy,task_3_final_accuracy,task_4_final_accuracy
8,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,ewc,0,ewc,PASS,100.0,100.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9879999999999999,0.99,0.973,0,0.1966,0.98925,0.98925,3.887,3.887,cuda:0,1000,500,all_120perm_4methods,0.999,0.973,0.99,0.995,0.983,0.0,0.0,0.0,0.0,0.983,0.0,0.0,0.0,0.0,0.983
9,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,no_replay,0,no_replay,PASS,0.0,0.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9884000000000001,0.993,0.978,0,0.1956,0.991,0.991,1.204,1.204,cuda:0,1000,500,all_120perm_4methods,0.999,0.979,0.993,0.993,0.978,0.0,0.0,0.0,0.0,0.978,0.0,0.0,0.0,0.0,0.978
9,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,100,er100,PASS,0.0,0.0,10,128,not_applicable,not_applicable,840,160;170;170;170;170,840,104000,20000;21000;21000;21000;21000,104000,not_applicable,not_applicable,0.982,0.985,0.96,0,0.2988,0.854,0.854,1.272,1.272,cuda:0,1000,500,all_120perm_4methods,0.999,0.96,0.99,0.985,0.976,0.0,0.0,0.0,0.518,0.976,0.0,0.0,0.0,0.518,0.976
9,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,500,er500,PASS,0.0,0.0,10,128,not_applicable,not_applicable,960,160;200;200;200;200,960,120000,20000;25000;25000;25000;25000,120000,not_applicable,not_applicable,0.9798,0.978,0.968,0,0.5516,0.53525,0.53525,1.427,1.427,cuda:0,1000,500,all_120perm_4methods,0.999,0.974,0.98,0.978,0.968,0.373,0.162,0.361,0.894,0.968,0.373,0.162,0.361,0.894,0.968
9,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,ewc,0,ewc,PASS,100.0,100.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9890000000000001,0.993,0.979,0,0.19619999999999999,0.991,0.991,3.581,3.581,cuda:0,1000,500,all_120perm_4methods,0.999,0.979,0.993,0.993,0.981,0.0,0.0,0.0,0.0,0.981,0.0,0.0,0.0,0.0,0.981
10,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,no_replay,0,no_replay,PASS,0.0,0.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9870000000000001,0.993,0.973,0,0.19519999999999998,0.98975,0.98975,1.26,1.26,cuda:0,1000,500,all_120perm_4methods,0.999,0.973,0.994,0.993,0.976,0.0,0.0,0.0,0.0,0.976,0.0,0.0,0.0,0.0,0.976
10,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,100,er100,PASS,0.0,0.0,10,128,not_applicable,not_applicable,840,160;170;170;170;170,840,104000,20000;21000;21000;21000;21000,104000,not_applicable,not_applicable,0.9873999999999998,0.99,0.974,0,0.3444,0.80375,0.80375,1.348,1.348,cuda:0,1000,500,all_120perm_4methods,0.999,0.974,0.993,0.99,0.981,0.0,0.0,0.0,0.741,0.981,0.0,0.0,0.0,0.741,0.981
10,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,500,er500,PASS,0.0,0.0,10,128,not_applicable,not_applicable,960,160;200;200;200;200,960,120000,20000;25000;25000;25000;25000,120000,not_applicable,not_applicable,0.9805999999999999,0.976,0.973,0,0.5164,0.5802499999999999,0.5802499999999999,1.512,1.512,cuda:0,1000,500,all_120perm_4methods,0.999,0.973,0.982,0.973,0.976,0.142,0.369,0.154,0.941,0.976,0.142,0.369,0.154,0.941,0.976
10,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,ewc,0,ewc,PASS,100.0,100.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9879999999999999,0.993,0.973,0,0.1982,0.98725,0.98725,3.568,3.568,cuda:0,1000,500,all_120perm_4methods,0.999,0.973,0.993,0.993,0.982,0.0,0.009,0.0,0.0,0.982,0.0,0.009,0.0,0.0,0.982
1,perm_001,none,perm_001,"[0,1,2,4,3]",0-1-2-4-3,no_replay,0,no_replay,PASS,0.0,0.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9868,0.993,0.969,0,0.1986,0.98525,0.98525,1.229,1.229,cuda:0,1000,500,all_120perm_4methods,0.999,0.969,0.994,0.993,0.979,0.0,0.0,0.0,0.993,0.0,0.0,0.0,0.0,0.993,0.0
